LineId,Type,Time,Content,EventId,EventTemplate
0,USER_ACCT,1642723741.072:375,"pid=10125 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",E1,pid=<*> uid=<*> auid=<*> ses=<*> msg='op=PAM:<*> acct=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
1,CRED_ACQ,1642723741.072:376,"pid=10125 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",E1,pid=<*> uid=<*> auid=<*> ses=<*> msg='op=PAM:<*> acct=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
2,LOGIN,1642723741.076:377,pid=10125 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=65 res=1,E3,pid=<*> uid=<*> old-auid=<*> auid=<*> tty=<*> old-ses=<*> ses=<*> res=<*>
3,USER_START,1642723741.080:378,"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",E1,pid=<*> uid=<*> auid=<*> ses=<*> msg='op=PAM:<*> acct=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
4,CRED_DISP,1642723741.084:379,"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",E1,pid=<*> uid=<*> auid=<*> ses=<*> msg='op=PAM:<*> acct=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
5,USER_END,1642723741.084:380,"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",E1,pid=<*> uid=<*> auid=<*> ses=<*> msg='op=PAM:<*> acct=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
6,SERVICE_START,1642723752.624:381,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",E2,pid=<*> uid=<*> auid=<*> ses=<*> msg='unit=<*> comm=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
7,SERVICE_STOP,1642723752.624:382,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",E2,pid=<*> uid=<*> auid=<*> ses=<*> msg='unit=<*> comm=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
8,USER_ACCT,1642724221.094:383,"pid=10197 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",E1,pid=<*> uid=<*> auid=<*> ses=<*> msg='op=PAM:<*> acct=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
9,CRED_ACQ,1642724221.098:384,"pid=10197 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",E1,pid=<*> uid=<*> auid=<*> ses=<*> msg='op=PAM:<*> acct=<*> exe=<*> hostname=<*> addr=<*> terminal=<*> res=<*>'
10,LOGIN,1642724221.098:385,pid=10197 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=66 res=1,E3,pid=<*> uid=<*> old-auid=<*> auid=<*> tty=<*> old-ses=<*> ses=<*> res=<*>
