Content,EventId,EventTemplate,Count
unregisterAudioFocusListener...,13d3f523,unregisterAudioFocusListener...,1
instantCollapse,18084d2f,instantCollapse,9
"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",1fa059f9,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",96
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",1fa059f9,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",100
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",1fa059f9,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",3
isBluetoothA2dpOn...,219ced65,isBluetoothA2dpOn...,1
"cancelNotification,index:-1",31252fc1,"cancelNotification,index:-<*>",20
getRingtonePlayer...,33c7b245,getRingtonePlayer...,2
mHeadsUpExistenceChangedRunnable,3a97dc6f,mHeadsUpExistenceChangedRunnable,4
cancelAutohide,3c2ee2af,cancelAutohide,15
handleTimeUpdate,3e03b5e1,handleTimeUpdate,3
suspendAutohide,482e1e93,suspendAutohide,23
abandonAudioFocus,504c331a,abandonAudioFocus,1
cancelNotificationLocked:0|com.tencent.mobileqq|121|null|10111,6ffb32a1,cancelNotificationLocked:<*>|<*>|<*>|null|<*>,2
resumeSuspendedAutohide,8d7445f8,resumeSuspendedAutohide,10
getRingerMode...,99718fbd,getRingerMode...,3
removeNotificationChildren,99e75217,removeNotificationChildren,12
isMusicActive...,a6b9ef39,isMusicActive...,12
schedulePeek,ade15b9a,schedulePeek,1
setLightsOn(true),b4f3261c,setLightsOn(true),181
onExpandingFinished,b5721111,onExpandingFinished,2
onTrackingStarted,cd7563b4,onTrackingStarted,1
isBluetoothScoOn...,ce34163a,isBluetoothScoOn...,1
removeNotification:0|com.tencent.mobileqq|121|null|10111,cf257422,removeNotification:<*>|<*>|<*>|null|<*>,2
isWiredHeadsetOn...,d639dd08,isWiredHeadsetOn...,1
handleBatteryUpdate,e23c2601,handleBatteryUpdate,1
getMode...,eadc277d,getMode...,1
querySoundEffectsEnabled...,eeec1449,querySoundEffectsEnabled...,17
"cancelNotification,index:0",ef908799,"cancelNotification,index:<*>",3
onExpandingStarted,f02115d0,onExpandingStarted,2
closeQs,fbb3c9bb,closeQs,12
onNotificationClick called,06c4f169,onNotificationClick called,2
"cancelNotificationLocked,remove =com.tencent.mobileqq",14be3b8a,"cancelNotificationLocked,remove =<*>",2
stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false,16ade1fc,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false,6
onTrackingStopped: true,263f405d,onTrackingStopped: true,1
shouldBlockLocation  ret:false,324966b5,shouldBlockLocation ret:false,33
onNotificationExpansionChanged called,36dc96c6,onNotificationExpansionChanged called,2
startAnimation begin,4bea79c0,startAnimation begin,1
cancelPeek: false,522cc439,cancelPeek: false,20
updateDimmedActivatedHideSensitive overlap:true,643ab8b3,updateDimmedActivatedHideSensitive overlap:true,13
stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=0,710052a8,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
getRecentTasks: topActivity=ComponentInfo{com.example.android.notepad/com.example.android.notepad.NoteEditor},79c6ad8b,getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>},4
getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.ui.LauncherUI},79c6ad8b,getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>},2
getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity},79c6ad8b,getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>},8
addNotification key=0|com.tencent.mm|4097|null|10112,7fdc600b,addNotification key=<*>|<*>|<*>|null|<*>,1
addNotification key=0|com.tencent.mobileqq|121|null|10111,7fdc600b,addNotification key=<*>|<*>|<*>|null|<*>,1
makeExpandedInvisible: mExpandedVisible=false,8e52da4a,makeExpandedInvisible: mExpandedVisible=false,1
DefaultState what=155652,96d275e9,DefaultState what=<*>,1
"getRecentTasks: num=10,flags=62,totalTasks=46",a41f2e6b,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",7
