Content,EventId,RegexTemplate
pid=10125 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=65 res=1,0,pid=(.*?) uid=(.*?) old\-auid=(.*?) auid=(.*?) tty=\(<(.*?)\) old\-ses=(.*?) ses=(.*?) res=(.*?)
"pid=10125 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='op=PAM:(.*?) acct=""root"" exe=""/usr/sbin/cron"" hostname=\? addr=\? terminal=cron res=success'"
"pid=10125 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='op=PAM:(.*?) acct=""root"" exe=""/usr/sbin/cron"" hostname=\? addr=\? terminal=cron res=success'"
"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='op=PAM:(.*?) acct=""root"" exe=""/usr/sbin/cron"" hostname=\? addr=\? terminal=cron res=success'"
"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='op=PAM:(.*?) acct=""root"" exe=""/usr/sbin/cron"" hostname=\? addr=\? terminal=cron res=success'"
"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='op=PAM:(.*?) acct=""root"" exe=""/usr/sbin/cron"" hostname=\? addr=\? terminal=cron res=success'"
"pid=10197 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='op=PAM:(.*?) acct=""root"" exe=""/usr/sbin/cron"" hostname=\? addr=\? terminal=cron res=success'"
"pid=10197 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='op=PAM:(.*?) acct=""root"" exe=""/usr/sbin/cron"" hostname=\? addr=\? terminal=cron res=success'"
"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b295a08b,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=\? addr=\? terminal=\? res=success'"
"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b295a08b,"pid=(.*?) uid=(.*?) auid=(.*?) ses=(.*?) msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=\? addr=\? terminal=\? res=success'"
