Content,EventId,EventTemplate,Count
starting,1ee85f6c,starting,1
not-responding,252f035f,not-responding,1
closing,3b38bec1,closing,1
blocked,61326117,blocked,15
running,75101dcd,running,162
warning,7b83d3f0,warning,205
critical,7e85bcb6,critical,20
ambient=23,92f0ab0d,ambient<*>,1
ambient=24,92f0ab0d,ambient<*>,4
ambient=25,92f0ab0d,ambient<*>,20
ambient=26,92f0ab0d,ambient<*>,19
ambient=27,92f0ab0d,ambient<*>,30
ambient=28,92f0ab0d,ambient<*>,30
ambient=29,92f0ab0d,ambient<*>,34
ambient=30,92f0ab0d,ambient<*>,41
ambient=31,92f0ab0d,ambient<*>,32
ambient=32,92f0ab0d,ambient<*>,16
ambient=33,92f0ab0d,ambient<*>,34
ambient=34,92f0ab0d,ambient<*>,9
ambient=35,92f0ab0d,ambient<*>,11
ambient=36,92f0ab0d,ambient<*>,10
ambient=37,92f0ab0d,ambient<*>,1
active,c76a5e84,active,5
normal,fea08751,normal,206
Link error,3458891f,Link <*>,13
Link ok,3458891f,Link <*>,13
configured out,8cfafe98,configured out,91
not responding,b02b9741,not responding,60
power/control problem,e13d082a,power/control problem,1
wait  (command 1973),28889bc4,wait (command <*>,1
wait  (command 1975),28889bc4,wait (command <*>,1
wait  (command 2057),28889bc4,wait (command <*>,1
wait  (command 2154),28889bc4,wait (command <*>,1
wait  (command 2189),28889bc4,wait (command <*>,1
wait  (command 2199),28889bc4,wait (command <*>,1
wait  (command 2201),28889bc4,wait (command <*>,1
wait  (command 2217),28889bc4,wait (command <*>,2
wait  (command 2257),28889bc4,wait (command <*>,1
wait  (command 2270),28889bc4,wait (command <*>,1
wait  (command 2302),28889bc4,wait (command <*>,1
wait  (command 2322),28889bc4,wait (command <*>,1
wait  (command 2347),28889bc4,wait (command <*>,1
wait  (command 2354),28889bc4,wait (command <*>,1
wait  (command 2424),28889bc4,wait (command <*>,1
wait  (command 2449),28889bc4,wait (command <*>,1
wait  (command 2468),28889bc4,wait (command <*>,1
wait  (command 2484),28889bc4,wait (command <*>,1
wait  (command 2511),28889bc4,wait (command <*>,1
wait  (command 2513),28889bc4,wait (command <*>,1
wait  (command 2517),28889bc4,wait (command <*>,1
wait  (command 2549),28889bc4,wait (command <*>,1
wait  (command 2582),28889bc4,wait (command <*>,1
