Content,EventId,EventTemplate,Count
jetty-6.1.26,6b77fa65,jetty-6.1.26,1
nodeBlacklistingEnabled:true,8b1732f5,nodeBlacklistingEnabled:true,1
JOB_CREATE job_1445144423722_0020,10357c40,JOB_CREATE job_1445144423722_0020,1
DataStreamer Exception,2ef07439,DataStreamer Exception,1
Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,32df8be6,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:62267,1
queue: default,62365dbe,queue: default,1
KILLING attempt_1445144423722_0020_m_000001_0,da04743d,KILLING <*>,1
KILLING attempt_1445144423722_0020_m_000002_0,da04743d,KILLING <*>,1
KILLING attempt_1445144423722_0020_m_000003_0,da04743d,KILLING <*>,1
Launching attempt_1445144423722_0020_m_000000_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000001_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000002_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000003_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000004_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000005_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000006_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000007_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000008_0,df347da1,Launching <*>,1
Launching attempt_1445144423722_0020_m_000009_0,df347da1,Launching <*>,1
ATTEMPT_START task_1445144423722_0020_m_000000,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000001,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000002,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000003,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000004,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000005,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000006,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000007,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000008,e215e532,ATTEMPT_START <*>,1
ATTEMPT_START task_1445144423722_0020_m_000009,e215e532,ATTEMPT_START <*>,1
"mapResourceRequest:<memory:1024, vCores:1>",fdd0db5a,<*> vCores:1>,1
"reduceResourceRequest:<memory:1024, vCores:1>",fdd0db5a,<*> vCores:1>,1
Using mapred newApiCommitter.,0594ecc2,Using mapred newApiCommitter.,1
maxTaskFailuresPerNode is 3,17dc3b51,maxTaskFailuresPerNode is 3,1
yarn.client.max-cached-nodemanagers-proxies : 0,2b3d75c5,yarn.client.max-cached-nodemanagers-proxies : 0,1
Executing with tokens:,3c5bb15c,Executing with tokens:,1
blacklistDisablePercent is 33,93a481e4,blacklistDisablePercent is 33,1
"maxContainerCapability: <memory:8192, vCores:32>",d0cf8682,"maxContainerCapability: <memory:8192, vCores:32>",1
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
Done acknowledgement from attempt_1445144423722_0020_m_000003_0,0a1bddef,Done acknowledgement from attempt_1445144423722_0020_m_000003_0,1
Got allocated containers 1,0f71bb1f,Got allocated containers <*>,9
Got allocated containers 2,0f71bb1f,Got allocated containers <*>,1
Registered webapp guice modules,5ba9445a,Registered webapp guice modules,1
Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,2
Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,4
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,15
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,18
Default file system [hdfs://msra-sa-41:9000],7ced323b,Default file system [hdfs://msra-sa-41:9000],3
Using callQueue class java.util.concurrent.LinkedBlockingQueue,916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
Num completed Tasks: 1,a81458ea,Num completed Tasks: 1,1
ERROR IN CONTACTING RM.,b4ff2357,ERROR IN CONTACTING RM.,147
Received completed container container_1445144423722_0020_01_000005,ba0e1b89,Received completed container <*>,1
Received completed container container_1445144423722_0020_01_000012,ba0e1b89,Received completed container <*>,1
"Recalculating schedule, headroom=<memory:0, vCores:-27>",bae0e03b,"Recalculating schedule, <*> <*>",121
"Recalculating schedule, headroom=<memory:1024, vCores:-26>",bae0e03b,"Recalculating schedule, <*> <*>",3
"Recalculating schedule, headroom=<memory:10240, vCores:-17>",bae0e03b,"Recalculating schedule, <*> <*>",2
"Recalculating schedule, headroom=<memory:3072, vCores:-24>",bae0e03b,"Recalculating schedule, <*> <*>",1
"Recalculating schedule, headroom=<memory:4096, vCores:-23>",bae0e03b,"Recalculating schedule, <*> <*>",1
"Recalculating schedule, headroom=<memory:5120, vCores:-22>",bae0e03b,"Recalculating schedule, <*> <*>",1
"Recalculating schedule, headroom=<memory:7168, vCores:-20>",bae0e03b,"Recalculating schedule, <*> <*>",1
"Recalculating schedule, headroom=<memory:8192, vCores:-19>",bae0e03b,"Recalculating schedule, <*> <*>",1
adding path spec: /mapreduce/*,c5e95c21,adding path spec: <*>,1
adding path spec: /ws/*,c5e95c21,adding path spec: <*>,1
loaded properties from hadoop-metrics2.properties,ca7d7941,loaded properties from hadoop-metrics2.properties,1
IPC Server Responder: starting,ccc17099,IPC Server Responder: starting,2
Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,e8090e05,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*>:62260,1
Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,fc38bf1a,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,1
MRAppMaster metrics system started,fc657c96,MRAppMaster metrics system started,1
Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883,fc9ef42a,Opening proxy : <*>,1
Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,fc9ef42a,Opening proxy : <*>,4
Opening proxy : MSRA-SA-39.fareast.corp.microsoft.com:28345,fc9ef42a,Opening proxy : <*>,2
Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,fc9ef42a,Opening proxy : <*>,6
Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,04500f53,Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,1
1 failures on node MININT-FNANLI5.fareast.corp.microsoft.com,2b7f7e1e,<*> failures on node MININT-FNANLI5.fareast.corp.microsoft.com,1
