Content,EventId,EventTemplate,Count
setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29307585,01a78960,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29307585,1
setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,02d29f24,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,1
setTodayTotalDetailSteps=1514043660000##7214##549659##8661##16256##32403526,04e282db,setTodayTotalDetailSteps=1514043660000##7214##549659##8661##16256##32403526,1
setTodayTotalDetailSteps=1514038680000##7154##548920##8661##16256##27400475,04f1ea7d,setTodayTotalDetailSteps=1514038680000##7154##548920##8661##16256##27400475,1
setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33118758,08d7787b,setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33118758,1
setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30315546,09200e18,setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30315546,1
setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,093bd3bc,setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,1
setTodayTotalDetailSteps=1514038620000##7111##548640##8661##16256##27324478,0a133f16,setTodayTotalDetailSteps=1514038620000##7111##548640##8661##16256##27324478,1
setTodayTotalDetailSteps=1514046240000##0##549659##8661##16256##34960758,0a756428,setTodayTotalDetailSteps=1514046240000##0##549659##8661##16256##34960758,1
setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970,0b17170a,setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970,1
setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468,0cdc4275,setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468,1
setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,0da5c16c,setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,1
setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,0dd728a7,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,1
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,0eff0698,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,1
setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,11b8eab9,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,1
