Content,EventId,EventTemplate,Count
restart.,6f97e9d4,restart.,7
SELinux:  Initializing.,158c34d8,SELinux: Initializing.,1
audit(1122475266.4294965305:0): initialized,5661f4eb,audit(1122475266.4294965305:0): initialized,1
Initializing CPU#0,fe3c862d,Initializing CPU#0,1
rpc.idmapd startup succeeded,00c09a87,rpc.idmapd startup succeeded,1
Couldn't authenticate user,03649f38,Couldn't authenticate user,1
kernel.core_uses_pid = 1,172d92d2,kernel.core_uses_pid = 1,1
*** info [mice.c(1766)]:,1d16b745,*** info [mice.c(1766)]:,1
rpc.statd startup succeeded,25830347,rpc.statd startup succeeded,1
Initializing Cryptographic API,2b566107,Initializing Cryptographic API,1
sdpd startup succeeded,3307aa8a,sdpd startup succeeded,1
zapping low mappings.,42e1da55,zapping low mappings.,1
Capability LSM initialized,48a493b0,Capability LSM initialized,1
126MB LOWMEM available.,6b643c98,126MB LOWMEM available.,1
portmap startup succeeded,7d73b4c5,portmap startup succeeded,1
Version 1.0.6 Starting,8c112e82,Version 1.0.6 Starting,1
DMI 2.3 present.,90cdab58,DMI 2.3 present.,1
syslogd startup succeeded,91fea51a,syslogd startup succeeded,1
0MB HIGHMEM available.,9b11616a,0MB HIGHMEM available.,1
klogd startup succeeded,abd14c95,klogd startup succeeded,1
cupsd startup succeeded,adc372d2,cupsd startup succeeded,6
ACPI: Interpreter disabled.,cf383357,ACPI: Interpreter disabled.,1
irqbalance startup succeeded,d7763055,irqbalance startup succeeded,1
sdpd v1.5 started,db9d37a1,sdpd v1.5 started,1
hcid startup succeeded,dbae5392,hcid startup succeeded,1
Built 1 zonelists,de6cd9cf,Built 1 zonelists,1
Kerberos authentication failed,dea5ca56,Kerberos authentication failed,23
cupsd shutdown succeeded,e05fcc23,cupsd shutdown succeeded,6
mtrr: v2.0 (20020519),e1e0655b,mtrr: v2.0 (20020519),1
Starting pcmcia:  succeeded,ee129c71,Starting pcmcia: succeeded,1
Checking 'hlt' instruction... OK.,0dfe904f,Checking 'hlt' instruction... OK.,1
PCI: Probing PCI hardware,1f72ed8d,PCI: Probing PCI hardware,1
Security Scaffold v1.0.0 initialized,3c5e98a7,Security Scaffold v1.0.0 initialized,1
removing device node '/udev/vcs2',3d002f62,removing device node <*>,2
removing device node '/udev/vcsa2',3d002f62,removing device node <*>,2
VFS: Disk quotas dquot_6.5.1,4d73c3e7,VFS: Disk quotas dquot_6.5.1,1
ACPI: Subsystem revision 20040326,4ed240a7,ACPI: Subsystem revision 20040326,1
Transparent bridge - 0000:00:1e.0,4fb9993c,Transparent bridge - 0000:00:1e.0,1
SELinux:  Registering netfilter hooks,6999d396,SELinux: Registering netfilter hooks,1
BIOS-provided physical RAM map:,8c537990,BIOS-provided physical RAM map:,1
creating device node '/udev/vcs2',961489c4,creating device node <*>,2
creating device node '/udev/vcsa2',961489c4,creating device node <*>,2
Console: colour VGA+ 80x25,a5b547df,Console: colour VGA+ 80x25,1
Setting network parameters:  succeeded,a9d64ca2,Setting network parameters: succeeded,1
Detected 731.219 MHz processor.,b6fd22c2,Detected 731.219 MHz processor.,1
check pass; user unknown,b780997e,check pass; user unknown,117
imps2: Auto-detected intellimouse PS/2,c80127b9,imps2: Auto-detected intellimouse PS/2,1
CPU: L2 cache: 256K,d678ffa6,CPU: L2 cache: 256K,1
ROOT LOGIN ON tty2,e2234786,ROOT LOGIN ON tty2,1
HCI daemon ver 2.4 started,1a06754d,HCI daemon ver 2.4 started,1
Real Time Clock Driver v1.12,25be35b6,Real Time Clock Driver v1.12,1
session closed for user cyrus,27624832,session closed for user <*>,43
session closed for user news,27624832,session closed for user <*>,43
session closed for user root,27624832,session closed for user <*>,1
session closed for user test,27624832,session closed for user <*>,36
isapnp: Scanning for PnP cards...,2bf1954b,isapnp: Scanning for PnP cards...,1
"CPU 0 irqstacks, hard=02345000 soft=02344000",2c065952,"CPU 0 irqstacks, hard=02345000 soft=02344000",1
selinux_register_security:  Registering secondary module capability,41ffccb1,selinux_register_security: Registering secondary module capability,1
SELinux:  Starting in permissive mode,426f668c,SELinux: Starting in permissive mode,1
mapped 4G/4G trampoline to ffff3000.,4845b66c,mapped 4G/4G trampoline to ffff3000.,1
BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),49c2965e,BIOS-e820: <*> - <*> <*>,1
BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),49c2965e,BIOS-e820: <*> - <*> <*>,1
BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),49c2965e,BIOS-e820: <*> - <*> <*>,1
BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),49c2965e,BIOS-e820: <*> - <*> <*>,1
