Content,EventId,EventTemplate,Count
AppleCamIn::wakeEventHandlerThread,016decae,AppleCamIn::wakeEventHandlerThread,20
CCFile::captureLog,4a019d20,CCFile::captureLog,17
AppleCamIn::handleWakeEvent_gated,5d3b8c8e,AppleCamIn::handleWakeEvent_gated,15
kern_open_file_for_direct_io(0),8f7d765f,kern_open_file_for_direct_io(0),1
jemmytest,b55176d9,jemmytest,10
CCProfileMonitor::setStreamEventHandler,baac63ed,CCProfileMonitor::setStreamEventHandler,1
IOHibernatePollerOpen(0),e194959f,IOHibernatePollerOpen(0),2
FA||Url||taskID[2019353614] dealloc,0401486e,FA||Url||taskID[2019353614] dealloc,1
FA||Url||taskID[2019353724] dealloc,09137032,FA||Url||taskID[2019353724] dealloc,1
FA||Url||taskID[2019353306] dealloc,0f38c9e7,FA||Url||taskID[2019353306] dealloc,1
hibernate_machine_init reading,164db6d5,hibernate_machine_init reading,2
FA||Url||taskID[2019353410] dealloc,1f8d0ffc,FA||Url||taskID[2019353410] dealloc,1
[BluetoothHIDDeviceController] EventServiceConnectedCallback,23320c25,[BluetoothHIDDeviceController] EventServiceConnectedCallback,2
FA||Url||taskID[2019353677] dealloc,2f201f0e,FA||Url||taskID[2019353677] dealloc,1
FA||Url||taskID[2019353666] dealloc,3c36506b,FA||Url||taskID[2019353666] dealloc,1
FA||Url||taskID[2019353853] dealloc,41ca1f3b,FA||Url||taskID[2019353853] dealloc,1
############################## _getSysMsgList,42e9195d,############################## _getSysMsgList,10
CCProfileMonitor::freeResources done,5722d0e3,CCProfileMonitor::freeResources done,1
FA||Url||taskID[2019353517] dealloc,617d6b14,FA||Url||taskID[2019353517] dealloc,1
FA||Url||taskID[2019353593] dealloc,68e42f4b,FA||Url||taskID[2019353593] dealloc,1
AppleActuatorDevice::stop Entered,743ea632,AppleActuatorDevice::stop Entered,1
AppleActuatorDeviceUserClient::start Entered,7725026e,AppleActuatorDeviceUserClient::start Entered,1
BuildActDeviceEntry enter,773e06a3,BuildActDeviceEntry enter,2
AppleActuatorHIDEventDriver: stop,a041eae4,AppleActuatorHIDEventDriver: stop,2
FA||Url||taskID[2019353444] dealloc,a338a6e8,FA||Url||taskID[2019353444] dealloc,1
[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,aaf79c0c,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,1
