Content,EventId,EventTemplate,Count
[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Claim successful,005b9f41,[instance: <*>abccce-<*>d<*>f-<*>e<*>-b<*>d<*>-<*>b<*>ab<*>e<*>b<*>] <*> <*>,1
[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Creating image,005b9f41,[instance: <*>abccce-<*>d<*>f-<*>e<*>-b<*>d<*>-<*>b<*>ab<*>e<*>b<*>] <*> <*>,1
[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Terminating instance,005b9f41,[instance: <*>abccce-<*>d<*>f-<*>e<*>-b<*>d<*>-<*>b<*>ab<*>e<*>b<*>] <*> <*>,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Claim successful,06b10101,[instance: <*>c<*>b-c<*>b-<*>c<*>-b<*>-<*>afe<*>f<*>ff<*>] <*> <*>,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Creating image,06b10101,[instance: <*>c<*>b-c<*>b-<*>c<*>-b<*>-<*>afe<*>f<*>ff<*>] <*> <*>,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Terminating instance,06b10101,[instance: <*>c<*>b-c<*>b-<*>c<*>-b<*>-<*>afe<*>f<*>ff<*>] <*> <*>,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Claim successful,0764a0e7,[instance: <*>e<*>cc<*>f-<*>cb<*>-<*>d<*>-<*>c-f<*>a<*>d<*>f<*>c<*>] <*> <*>,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Creating image,0764a0e7,[instance: <*>e<*>cc<*>f-<*>cb<*>-<*>d<*>-<*>c-f<*>a<*>d<*>f<*>c<*>] <*> <*>,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Terminating instance,0764a0e7,[instance: <*>e<*>cc<*>f-<*>cb<*>-<*>d<*>-<*>c-f<*>a<*>d<*>f<*>c<*>] <*> <*>,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Claim successful,202c278a,[instance: d<*>a<*>b-<*>-<*>-bdcc-<*>b<*>d<*>d] <*> <*>,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Creating image,202c278a,[instance: d<*>a<*>b-<*>-<*>-bdcc-<*>b<*>d<*>d] <*> <*>,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Terminating instance,202c278a,[instance: d<*>a<*>b-<*>-<*>-bdcc-<*>b<*>d<*>d] <*> <*>,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Claim successful,22dde80f,[instance: af<*>f<*>-f<*>d<*>-<*>-b<*>-c<*>c<*>aa<*>] <*> <*>,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Creating image,22dde80f,[instance: af<*>f<*>-f<*>d<*>-<*>-b<*>-c<*>c<*>aa<*>] <*> <*>,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Terminating instance,22dde80f,[instance: af<*>f<*>-f<*>d<*>-<*>-b<*>-c<*>c<*>aa<*>] <*> <*>,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Claim successful,26ee0d4a,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] <*> <*>,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Creating image,26ee0d4a,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] <*> <*>,1
