Content,EventId,EventTemplate,Count
LOOKING,00078e14,LOOKING,4
FOLLOWING,c172d526,FOLLOWING,2
Interrupting SendWorker,273e53f2,Interrupting SendWorker,266
Unexpected Exception:,63d9783e,Unexpected Exception:,1
Server environment:host.name=mesos-master-1,8dc08652,Server <*>,1
Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar,8dc08652,Server <*>,1
Server environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre,8dc08652,Server <*>,1
Server environment:os.name=Linux,8dc08652,Server <*>,2
Server environment:user.dir=/,8dc08652,Server <*>,1
Server environment:user.name=zookeeper,8dc08652,Server <*>,2
Sending DIFF,9d86801d,Sending DIFF,1
Revalidating client: 0x14f05578bd80013,1caefedb,Revalidating client: <*>,1
Revalidating client: 0x14f05578bd80018,1caefedb,Revalidating client: <*>,1
Revalidating client: 0x24f0557806a001c,1caefedb,Revalidating client: <*>,1
First is 0x0,9cb3def4,First is 0x0,1
Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,a9459b27,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,1
Starting quorum peer,d459c04c,Starting quorum peer,1
Server environment:java.vendor=Oracle Corporation,d961f4e8,Server environment:java.vendor=Oracle Corporation,2
Notification time out: 3200,286299e2,Notification time out: <*>,1
Notification time out: 60000,286299e2,Notification time out: <*>,36
autopurge.purgeInterval set to 0,3204f3ff,autopurge.purgeInterval set to 0,3
minSessionTimeout set to -1,5bd1f197,minSessionTimeout set to -1,2
maxSessionTimeout set to -1,689b0f5e,maxSessionTimeout set to -1,1
Send worker leaving thread,7a2ec7d0,Send worker leaving thread,262
autopurge.snapRetainCount set to 3,8c716832,autopurge.snapRetainCount set to 3,1
Received connection request /10.10.34.11:32868,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:32964,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:33138,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:33186,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:33246,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:33257,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:33305,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:45307,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:45382,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:45440,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:45957,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46128,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46173,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46329,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46360,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46424,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46440,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46519,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46538,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46552,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46592,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46722,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46798,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46812,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46842,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:46914,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47145,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47287,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47327,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47351,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47366,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47367,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47390,9879a9ab,Received connection request <*>,1
Received connection request /10.10.34.11:47472,9879a9ab,Received connection request <*>,1
