Unnamed: 0,EventId,template
0.0,E1,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t<*>}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false"
1.0,E2,"acquire lock=<*>, flags=<*>, tag=<*>, name=<*>, ws=<*>, uid=<*>, pid=<*>"
2.0,E3,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>"
3.0,E4,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/<*>.<*> t761}}} -- going to hide
4.0,E5,visible is system.message.count gt <*>
5.0,E6,<*>.getValue is <*>
6.0,E5,visible is system.message.count gt <*>
7.0,E6,<*>.getValue is <*>
8.0,E5,visible is system.message.count gt <*>
9.0,E6,<*>.getValue is <*>
10.0,E5,visible is system.message.count gt <*>
11.0,E6,<*>.getValue is <*>
12.0,E5,visible is system.message.count gt <*>
13.0,E6,<*>.getValue is <*>
14.0,E7,"release:lock=<*>, flg=<*>, tag=<*>, name=<*>, ws=<*>, uid=<*>, pid=<*>"
15.0,E3,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>"
16.0,E4,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/<*>.<*> t761}}} -- going to hide
17.0,E8,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
18.0,E9,updateDimmedActivatedHideSensitive overlap:<*>
19.0,E10,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
20.0,E11,"release:lock=<*>, flg=<*>, tag=<*>, name=<*>, ws=WorkSource{<*>}, uid=<*>, pid=<*>"
