Unnamed: 0,EventId,template
0.0,E1,PacketResponder <*> for block blk_<*> terminating
1.0,E1,PacketResponder <*> for block blk_<*> terminating
2.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
3.0,E1,PacketResponder <*> for block blk_<*> terminating
4.0,E1,PacketResponder <*> for block blk_<*> terminating
5.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
6.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
7.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
8.0,E1,PacketResponder <*> for block blk_<*> terminating
9.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
10.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
11.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
12.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
13.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
14.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
15.0,E5,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_<*>_r_<*>_part-<*>. blk_<*>
16.0,E1,PacketResponder <*> for block blk_<*> terminating
17.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
18.0,E5,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_<*>_r_<*>_part-<*>. blk_<*>
19.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
20.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
21.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
22.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
23.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
24.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
25.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
26.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
27.0,E5,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_<*>_r_<*>_part-<*>. blk_<*>
28.0,E6,Verification succeeded for blk_<*>
29.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
30.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
31.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
32.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
33.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
34.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
35.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
36.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
37.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
38.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
39.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
40.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
41.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
42.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
43.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
44.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
45.0,E1,PacketResponder <*> for block blk_<*> terminating
46.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
47.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
48.0,E1,PacketResponder <*> for block blk_<*> terminating
49.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
50.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
51.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
52.0,E1,PacketResponder <*> for block blk_<*> terminating
53.0,E1,PacketResponder <*> for block blk_<*> terminating
54.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
55.0,E1,PacketResponder <*> for block blk_<*> terminating
56.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
57.0,E5,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_<*>_r_<*>_part-<*>. blk_<*>
58.0,E5,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_<*>_r_<*>_part-<*>. blk_<*>
59.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
60.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
61.0,E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
62.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
63.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
64.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
65.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
66.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
67.0,E1,PacketResponder <*> for block blk_<*> terminating
68.0,E3,Received block blk_<*> of size <*> from /<*>.<*>.<*>.<*>
69.0,E6,Verification succeeded for blk_<*>
70.0,E4,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
71.0,E1,PacketResponder <*> for block blk_<*> terminating
72.0,E7,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/blk_<*>
73.0,E8,<*>:<*>:<*>:<*> Served block blk_<*> to /<*>
74.0,E8,<*>:<*>:<*>:<*> Served block blk_<*> to /<*>
75.0,E8,<*>:<*>:<*>:<*> Served block blk_<*> to /<*>
76.0,E8,<*>:<*>:<*>:<*> Served block blk_<*> to /<*>
77.0,E9,d: <*>:<*>:Got exception while serving blk_<*> to /<*>:<*>
78.0,E9,d: <*>:<*>:Got exception while serving blk_<*> to /<*>:<*>
79.0,E8,<*>:<*>:<*>:<*> Served block blk_<*> to /<*>
80.0,E9,d: <*>:<*>:Got exception while serving blk_<*> to /<*>:<*>
81.0,E9,d: <*>:<*>:Got exception while serving blk_<*> to /<*>:<*>
82.0,E8,<*>:<*>:<*>:<*> Served block blk_<*> to /<*>
83.0,E9,d: <*>:<*>:Got exception while serving blk_<*> to /<*>:<*>
