Unnamed: 0,EventId,template
0.0,E1,Created MRAppMaster for application appattempt_<*>_<*>_<*>
1.0,E2,E<*>cuting with t<*>kens:
2.0,E3,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: -127633188)"
3.0,E4,Using mapred <*>Committer.
4.0,E5,OutputCommitter set in config <*>
5.0,E6,OutputCommitter is <*>
6.0,E7,Registering class <*> for class <*>
7.0,E8,Registering class <*> for class <*>$<*>
8.0,E8,Registering class <*> for class <*>$<*>
9.0,E7,Registering class <*> for class <*>
10.0,E7,Registering class <*> for class <*>
11.0,E7,Registering class <*> for class <*>
12.0,E7,Registering class <*> for class <*>
13.0,E7,Registering class <*> for class <*>
14.0,E9,Default file system [hdfs://<*>:<*>]
15.0,E9,Default file system [hdfs://<*>:<*>]
16.0,E9,Default file system [hdfs://<*>:<*>]
17.0,E10,Emitting job history data to the timeline server is not enabled
18.0,E7,Registering class <*> for class <*>
19.0,E11,loaded properties from <*>
20.0,E12,Scheduled snapshot period at <*> second(s).
21.0,E13,<*> metrics system started
22.0,E14,Adding job token for job_<*> to jobTokenSecretManager
23.0,E15,Not uberizing job_<*> because: not enabled; too many maps; too much input;
24.0,E16,Input size for job job_<*> = <*>. Number of splits = <*>
25.0,E17,Number of reduces for job job_<*> = <*>
26.0,E18,Job Transitioned from <*> to <*>
27.0,E19,"MRAppMaster launching normal, non-uberized, multi-container job <*>."
28.0,E20,Using callQueue class java.util.concurrent.LinkedBlockingQueue
29.0,E21,Starting Socket Reader #1 for port <*>
30.0,E22,0: Adding protocol <*> to the server
31.0,E23,Instantiated MRClientService at <*>.<*>/<*>:<*>
32.0,E24,d: IPC Server Responder: <*>
33.0,E25,IPC Server listener on <*>: starting
34.0,E26,Logging to <*> via <*>
35.0,E27,d: Http request log for http.requests.<*> is not defined
36.0,E28,Added global filter '<*>' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
37.0,E29,Added filter <*> (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
38.0,E30,Added filter <*> (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
39.0,E31,adding path spec: <*>
40.0,E31,adding path spec: <*>
41.0,E32,Jetty bound to port <*>
42.0,E33,jetty-<*>.<*>.<*>
43.0,E34,Extract jar:file:<*>!/webapps/mapreduce to C:\Users\<*>\AppData\Local\Temp\Jetty_<*>_mapreduce____<*>\webapp
44.0,E35,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>.<*>.<*>:<*>
45.0,E36,Web app /mapreduce started at <*>
46.0,E37,Registered webapp <*> modules
47.0,E20,Using callQueue class java.util.concurrent.LinkedBlockingQueue
48.0,E38,JOB_CREATE job_<*>
49.0,E39,nodeBlacklistingEnabled:<*>
50.0,E40,maxTaskFailuresPerNode is <*>
51.0,E41,blacklistDisablePercent is <*>
52.0,E21,Starting Socket Reader #1 for port <*>
53.0,E25,IPC Server listener on <*>: starting
54.0,E24,d: IPC Server Responder: <*>
55.0,E42,Connecting to ResourceManager at <*>
56.0,E43,"maxContainerCapability: <memory:<*>, vCores:<*>>"
57.0,E44,d: queue: <*>
58.0,E45,Upper limit on the thread pool size is <*>
59.0,E46,yarn.client.max-cached-nodemanagers-proxies : <*>
60.0,E18,Job Transitioned from <*> to <*>
61.0,E47,Processing the event EventType: <*>
62.0,E48,d: Job Transitioned from <*> to <*>
63.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
64.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
65.0,E50,task_<*>_<*>_<*> Task Transitioned from <*> to <*>
66.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
67.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
68.0,E50,task_<*>_<*>_<*> Task Transitioned from <*> to <*>
69.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
70.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
71.0,E50,task_<*>_<*>_<*> Task Transitioned from <*> to <*>
72.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
73.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
74.0,E50,task_<*>_<*>_<*> Task Transitioned from <*> to <*>
75.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
76.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
77.0,E50,task_<*>_<*>_<*> Task Transitioned from <*> to <*>
78.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
79.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
80.0,E50,task_<*>_<*>_<*> Task Transitioned from <*> to <*>
81.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
82.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
83.0,E50,task_<*>_<*>_<*> Task Transitioned from <*> to <*>
84.0,E49,Resolved <*>.fareast.corp.microsoft.com to /default-rack
