Unnamed: 0,EventId,template
0.0,E1,onStandStepChanged <*>
1.0,E2,onExtend:<*> <*> <*> <*>
2.0,E3,onReceive action: android.intent.action.SCREEN_<*>
3.0,E4,processHandleBroadcastAction action:<*>
4.0,E5,d <*> <*> <*>
5.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
6.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
7.0,E1,onStandStepChanged <*>
8.0,E8,calculateCaloriesWithCache totalCalories=<*>
9.0,E9,calculateAltitudeWithCache totalAltitude=<*>
10.0,E10,<*> : <*> <*> <*> <*>
11.0,E2,onExtend:<*> <*> <*> <*>
12.0,E1,onStandStepChanged <*>
13.0,E1,onStandStepChanged <*>
14.0,E2,onExtend:<*> <*> <*> <*>
15.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
16.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
17.0,E8,calculateCaloriesWithCache totalCalories=<*>
18.0,E9,calculateAltitudeWithCache totalAltitude=<*>
19.0,E10,<*> : <*> <*> <*> <*>
20.0,E1,onStandStepChanged <*>
21.0,E2,onExtend:<*> <*> <*> <*>
22.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
23.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
24.0,E8,calculateCaloriesWithCache totalCalories=<*>
25.0,E9,calculateAltitudeWithCache totalAltitude=<*>
26.0,E10,<*> : <*> <*> <*> <*>
27.0,E1,onStandStepChanged <*>
28.0,E2,onExtend:<*> <*> <*> <*>
29.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
30.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
31.0,E8,calculateCaloriesWithCache totalCalories=<*>
32.0,E9,calculateAltitudeWithCache totalAltitude=<*>
33.0,E10,<*> : <*> <*> <*> <*>
34.0,E1,onStandStepChanged <*>
35.0,E2,onExtend:<*> <*> <*> <*>
36.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
37.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
38.0,E8,calculateCaloriesWithCache totalCalories=<*>
39.0,E9,calculateAltitudeWithCache totalAltitude=<*>
40.0,E10,<*> : <*> <*> <*> <*>
41.0,E1,onStandStepChanged <*>
42.0,E2,onExtend:<*> <*> <*> <*>
43.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
44.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
45.0,E8,calculateCaloriesWithCache totalCalories=<*>
46.0,E9,calculateAltitudeWithCache totalAltitude=<*>
47.0,E10,<*> : <*> <*> <*> <*>
48.0,E1,onStandStepChanged <*>
49.0,E2,onExtend:<*> <*> <*> <*>
50.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
51.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
52.0,E8,calculateCaloriesWithCache totalCalories=<*>
53.0,E9,calculateAltitudeWithCache totalAltitude=<*>
54.0,E10,<*> : <*> <*> <*> <*>
55.0,E1,onStandStepChanged <*>
56.0,E2,onExtend:<*> <*> <*> <*>
57.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
58.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
59.0,E8,calculateCaloriesWithCache totalCalories=<*>
60.0,E9,calculateAltitudeWithCache totalAltitude=<*>
61.0,E10,<*> : <*> <*> <*> <*>
62.0,E1,onStandStepChanged <*>
63.0,E2,onExtend:<*> <*> <*> <*>
64.0,E3,onReceive action: android.intent.action.SCREEN_<*>
65.0,E1,onStandStepChanged <*>
66.0,E2,onExtend:<*> <*> <*> <*>
67.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
68.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
69.0,E8,calculateCaloriesWithCache totalCalories=<*>
70.0,E9,calculateAltitudeWithCache totalAltitude=<*>
71.0,E11,b <*>
72.0,E12,"screen status unknown,think screen <*>"
73.0,E10,<*> : <*> <*> <*> <*>
74.0,E3,onReceive action: android.intent.action.SCREEN_<*>
75.0,E4,processHandleBroadcastAction action:<*>
76.0,E5,d <*> <*> <*>
77.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
78.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
79.0,E1,onStandStepChanged <*>
80.0,E8,calculateCaloriesWithCache totalCalories=<*>
81.0,E9,calculateAltitudeWithCache totalAltitude=<*>
82.0,E10,<*> : <*> <*> <*> <*>
83.0,E1,onStandStepChanged <*>
84.0,E2,onExtend:<*> <*> <*> <*>
85.0,E1,onStandStepChanged <*>
86.0,E2,onExtend:<*> <*> <*> <*>
87.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
88.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
89.0,E8,calculateCaloriesWithCache totalCalories=<*>
90.0,E9,calculateAltitudeWithCache totalAltitude=<*>
91.0,E10,<*> : <*> <*> <*> <*>
92.0,E1,onStandStepChanged <*>
93.0,E2,onExtend:<*> <*> <*> <*>
94.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
95.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
96.0,E8,calculateCaloriesWithCache totalCalories=<*>
97.0,E9,calculateAltitudeWithCache totalAltitude=<*>
98.0,E10,<*> : <*> <*> <*> <*>
99.0,E1,onStandStepChanged <*>
100.0,E2,onExtend:<*> <*> <*> <*>
101.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
102.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
103.0,E8,calculateCaloriesWithCache totalCalories=<*>
104.0,E9,calculateAltitudeWithCache totalAltitude=<*>
105.0,E10,<*> : <*> <*> <*> <*>
106.0,E1,onStandStepChanged <*>
107.0,E2,onExtend:<*> <*> <*> <*>
108.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
109.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
110.0,E8,calculateCaloriesWithCache totalCalories=<*>
111.0,E9,calculateAltitudeWithCache totalAltitude=<*>
112.0,E10,<*> : <*> <*> <*> <*>
113.0,E1,onStandStepChanged <*>
114.0,E2,onExtend:<*> <*> <*> <*>
115.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
116.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
117.0,E8,calculateCaloriesWithCache totalCalories=<*>
118.0,E9,calculateAltitudeWithCache totalAltitude=<*>
119.0,E10,<*> : <*> <*> <*> <*>
120.0,E1,onStandStepChanged <*>
121.0,E2,onExtend:<*> <*> <*> <*>
122.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
123.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
124.0,E8,calculateCaloriesWithCache totalCalories=<*>
125.0,E9,calculateAltitudeWithCache totalAltitude=<*>
126.0,E10,<*> : <*> <*> <*> <*>
127.0,E1,onStandStepChanged <*>
128.0,E2,onExtend:<*> <*> <*> <*>
129.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
130.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
131.0,E8,calculateCaloriesWithCache totalCalories=<*>
132.0,E9,calculateAltitudeWithCache totalAltitude=<*>
133.0,E10,<*> : <*> <*> <*> <*>
134.0,E1,onStandStepChanged <*>
135.0,E2,onExtend:<*> <*> <*> <*>
136.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
137.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
138.0,E8,calculateCaloriesWithCache totalCalories=<*>
139.0,E9,calculateAltitudeWithCache totalAltitude=<*>
140.0,E10,<*> : <*> <*> <*> <*>
141.0,E1,onStandStepChanged <*>
142.0,E2,onExtend:<*> <*> <*> <*>
143.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
144.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
145.0,E8,calculateCaloriesWithCache totalCalories=<*>
146.0,E9,calculateAltitudeWithCache totalAltitude=<*>
147.0,E10,<*> : <*> <*> <*> <*>
148.0,E1,onStandStepChanged <*>
149.0,E2,onExtend:<*> <*> <*> <*>
150.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
151.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
152.0,E8,calculateCaloriesWithCache totalCalories=<*>
153.0,E9,calculateAltitudeWithCache totalAltitude=<*>
154.0,E10,<*> : <*> <*> <*> <*>
155.0,E1,onStandStepChanged <*>
156.0,E2,onExtend:<*> <*> <*> <*>
157.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
158.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
159.0,E8,calculateCaloriesWithCache totalCalories=<*>
160.0,E9,calculateAltitudeWithCache totalAltitude=<*>
161.0,E10,<*> : <*> <*> <*> <*>
162.0,E1,onStandStepChanged <*>
163.0,E2,onExtend:<*> <*> <*> <*>
164.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
165.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
166.0,E8,calculateCaloriesWithCache totalCalories=<*>
167.0,E9,calculateAltitudeWithCache totalAltitude=<*>
168.0,E10,<*> : <*> <*> <*> <*>
169.0,E1,onStandStepChanged <*>
170.0,E2,onExtend:<*> <*> <*> <*>
171.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
172.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
173.0,E8,calculateCaloriesWithCache totalCalories=<*>
174.0,E9,calculateAltitudeWithCache totalAltitude=<*>
175.0,E10,<*> : <*> <*> <*> <*>
176.0,E1,onStandStepChanged <*>
177.0,E2,onExtend:<*> <*> <*> <*>
178.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
179.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
180.0,E8,calculateCaloriesWithCache totalCalories=<*>
181.0,E9,calculateAltitudeWithCache totalAltitude=<*>
182.0,E10,<*> : <*> <*> <*> <*>
183.0,E1,onStandStepChanged <*>
184.0,E2,onExtend:<*> <*> <*> <*>
185.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
186.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
187.0,E8,calculateCaloriesWithCache totalCalories=<*>
188.0,E9,calculateAltitudeWithCache totalAltitude=<*>
189.0,E10,<*> : <*> <*> <*> <*>
190.0,E1,onStandStepChanged <*>
191.0,E2,onExtend:<*> <*> <*> <*>
192.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
193.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
194.0,E8,calculateCaloriesWithCache totalCalories=<*>
195.0,E9,calculateAltitudeWithCache totalAltitude=<*>
196.0,E10,<*> : <*> <*> <*> <*>
197.0,E1,onStandStepChanged <*>
198.0,E2,onExtend:<*> <*> <*> <*>
199.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
200.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
201.0,E8,calculateCaloriesWithCache totalCalories=<*>
202.0,E9,calculateAltitudeWithCache totalAltitude=<*>
203.0,E10,<*> : <*> <*> <*> <*>
204.0,E1,onStandStepChanged <*>
205.0,E2,onExtend:<*> <*> <*> <*>
206.0,E6,getTodayTotalDetailSteps = <*>##0##549659##8661##16256##33866758
207.0,E7,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
208.0,E8,calculateCaloriesWithCache totalCalories=<*>
209.0,E9,calculateAltitudeWithCache totalAltitude=<*>
