Unnamed: 0,EventId,template
0.0,E1,IOThunderboltSwitch<*>()::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0
1.0,E2,Thermal pressure state: <*> Memory pressure state: 0
2.0,E3,d||Url||taskID[<*>] dealloc
3.0,E4,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
4.0,E5,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>]
5.0,E6,mDNS_<*>Interface: Frequent transitions for interface en0 (<*>)
6.0,E99,"ARPT: <*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': <*>"
7.0,E7,"ARPT: <*>.434035: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: 4096"
8.0,E8,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload
9.0,E9,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
10.0,E10,IO<*>AWDLPeerManager::<*>AwdlAutoMode Resuming AWDL
11.0,E9,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
12.0,E11,"ARPT: <*>.102665: wl0: MDNS: <*> SRV Recs, <*> TXT Recs"
13.0,E12,AppleCamIn::systemWakeCall - messageType = <*>
14.0,E13,setting hostname to <*>
15.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
16.0,E15,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>
17.0,E16,[09:21:58.929] <<<< <*> >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.
18.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
19.0,E10,IO<*>AWDLPeerManager::<*>AwdlAutoMode Resuming AWDL
20.0,E17,AirPort: Link Down on <*>. Reason <*> (Unspecified).
21.0,E1,IOThunderboltSwitch<*>()::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0
22.0,E18,"PM response took <*> ms (<*>, powerd)"
23.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
24.0,E19,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>bssid <*>: last RSSI <*>"
25.0,E99,"ARPT: <*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': <*>"
26.0,E7,"ARPT: <*>.434035: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: 4096"
27.0,E20,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>
28.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
29.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
30.0,E21,"IO80211AWDLPeerManager::<*>() Suspending AWDL, enterQuietMode(<*>)"
31.0,E22,"network_reachability_changed : network is not reachable, <*> is shutting down"
32.0,E23,CCFile::captureLogRun() Exiting CCFile::captureLogRun
33.0,E2,Thermal pressure state: <*> Memory pressure state: 0
34.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
35.0,E24,d: com.apple.Addres(<*>) deny network-outbound /private/var/run/mDNSResponder
36.0,E10,IO<*>AWDLPeerManager::<*>AwdlAutoMode Resuming AWDL
37.0,E25,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>
38.0,E26,AirPort: Link Up on <*>
39.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
40.0,E14,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
41.0,E27,Sandbox: com.apple.Addres(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder
42.0,E6,mDNS_<*>Interface: Frequent transitions for interface en0 (<*>)
