Unnamed: 0,EventId,template
0.0,E1,reverse mapping checking getaddrinfo for ns.<*>.com [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
1.0,E2,Invalid user webmaster from <*>
2.0,E3,input_userauth_request: invalid user <*> [*]
3.0,E4,d_unix(sshd:auth): check pass; user unknown
4.0,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> rhost=88.147.143.242
5.0,E6,Failed password for invalid user <*> from <*> port <*> ssh2
6.0,E7,Connection closed by <*> [preauth]
7.0,E7,Connection closed by <*> [preauth]
8.0,E2,Invalid user webmaster from <*>
9.0,E3,input_userauth_request: invalid user <*> [*]
10.0,E4,d_unix(sshd:auth): check pass; user unknown
11.0,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> rhost=88.147.143.242
12.0,E6,Failed password for invalid user <*> from <*> port <*> ssh2
13.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
14.0,E1,reverse mapping checking getaddrinfo for ns.<*>.com [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
15.0,E2,Invalid user webmaster from <*>
16.0,E3,input_userauth_request: invalid user <*> [*]
17.0,E4,d_unix(sshd:auth): check pass; user unknown
18.0,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> rhost=88.147.143.242
19.0,E6,Failed password for invalid user <*> from <*> port <*> ssh2
20.0,E7,Connection closed by <*> [preauth]
21.0,E2,Invalid user webmaster from <*>
22.0,E3,input_userauth_request: invalid user <*> [*]
23.0,E4,d_unix(sshd:auth): check pass; user unknown
24.0,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> rhost=88.147.143.242
25.0,E6,Failed password for invalid user <*> from <*> port <*> ssh2
26.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
27.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
28.0,E10,Failed password for root from <*> port <*> ssh2
29.0,E11,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2]
30.0,E12,Disconnecting: Too many authentication failures for <*> [*]
31.0,E13,PAM <*> more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root
32.0,E14,PAM service(sshd) ignoring max retries; <*> > 3
33.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
34.0,E10,Failed password for root from <*> port <*> ssh2
35.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
36.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
37.0,E10,Failed password for root from <*> port <*> ssh2
38.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
39.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
40.0,E10,Failed password for root from <*> port <*> ssh2
41.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
42.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
43.0,E10,Failed password for root from <*> port <*> ssh2
44.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
45.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
46.0,E10,Failed password for root from <*> port <*> ssh2
47.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
48.0,E2,Invalid user webmaster from <*>
49.0,E3,input_userauth_request: invalid user <*> [*]
50.0,E4,d_unix(sshd:auth): check pass; user unknown
51.0,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> rhost=88.147.143.242
52.0,E6,Failed password for invalid user <*> from <*> port <*> ssh2
53.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
54.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
55.0,E10,Failed password for root from <*> port <*> ssh2
56.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
57.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
58.0,E10,Failed password for root from <*> port <*> ssh2
59.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
60.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
61.0,E10,Failed password for root from <*> port <*> ssh2
62.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
63.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
64.0,E10,Failed password for root from <*> port <*> ssh2
65.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
66.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
67.0,E10,Failed password for root from <*> port <*> ssh2
68.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
69.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
70.0,E10,Failed password for root from <*> port <*> ssh2
71.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
72.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
73.0,E10,Failed password for root from <*> port <*> ssh2
74.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
75.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
76.0,E10,Failed password for root from <*> port <*> ssh2
77.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
78.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
79.0,E10,Failed password for root from <*> port <*> ssh2
80.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
81.0,E2,Invalid user webmaster from <*>
82.0,E3,input_userauth_request: invalid user <*> [*]
83.0,E4,d_unix(sshd:auth): check pass; user unknown
84.0,E5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> rhost=88.147.143.242
85.0,E6,Failed password for invalid user <*> from <*> port <*> ssh2
86.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
87.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
88.0,E10,Failed password for root from <*> port <*> ssh2
89.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
90.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
91.0,E10,Failed password for root from <*> port <*> ssh2
92.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
93.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
94.0,E10,Failed password for root from <*> port <*> ssh2
95.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
96.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
97.0,E10,Failed password for root from <*> port <*> ssh2
98.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
99.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
100.0,E10,Failed password for root from <*> port <*> ssh2
101.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
102.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
103.0,E10,Failed password for root from <*> port <*> ssh2
104.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
105.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
106.0,E10,Failed password for root from <*> port <*> ssh2
107.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
108.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
109.0,E10,Failed password for root from <*> port <*> ssh2
110.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
111.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
112.0,E10,Failed password for root from <*> port <*> ssh2
113.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
114.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
115.0,E10,Failed password for root from <*> port <*> ssh2
116.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
117.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
118.0,E10,Failed password for root from <*> port <*> ssh2
119.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
120.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
121.0,E10,Failed password for root from <*> port <*> ssh2
122.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
123.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
124.0,E10,Failed password for root from <*> port <*> ssh2
125.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
126.0,E9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>.dynamic-dsl-ip.omantel.net.om  user=root
127.0,E10,Failed password for root from <*> port <*> ssh2
128.0,E8,Received disconnect from <*>: <*>: Bye Bye [preauth]
