Unnamed: 0,EventId,template
0.0,E1,Registered signal handlers for [*]
1.0,E2,"Changing view acls to: <*,*>"
2.0,E3,"Changing modify acls to: <*,*>"
3.0,E4,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
4.0,E2,"Changing view acls to: <*,*>"
5.0,E3,"Changing modify acls to: <*,*>"
6.0,E4,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>)
7.0,E5,S<*>4jLogger s<*>rted
8.0,E6,S <*> rting rem <*> ting
9.0,E7,Remoting started; listening on addresses :[akka.tcp://<*>@<*>:<*>]
10.0,E8,Successfully started service 'sparkExecutorActorSystem' on port <*>.
11.0,E9,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_<*>/blockmgr-<*>
12.0,E10,MemoryStore started with capacity <*> GB
13.0,E11,Connecting to driver: spark://<*>@<*>:<*>
14.0,E12,Successfully registered with <*>
15.0,E13,Starting executor ID <*> on host mesos-slave-*
16.0,E14,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.
17.0,E15,Server created on <*>
18.0,E16,T*y*ng to register BlockM*nager
19.0,E17,R<*>gistered BlockM<*>nager
20.0,E18,Got assigned task <*>
21.0,E18,Got assigned task <*>
22.0,E18,Got assigned task <*>
23.0,E18,Got assigned task <*>
24.0,E19,Running task <*> in stage <*> (TID <*>)
25.0,E19,Running task <*> in stage <*> (TID <*>)
26.0,E19,Running task <*> in stage <*> (TID <*>)
27.0,E19,Running task <*> in stage <*> (TID <*>)
28.0,E18,Got assigned task <*>
29.0,E19,Running task <*> in stage <*> (TID <*>)
30.0,E20,Started reading broadcast variable <*>
31.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
32.0,E22,Reading broadcast variable <*> took <*> ms
33.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
34.0,E24,"Partition rdd_<*>_<*> not found, computing it"
35.0,E24,"Partition rdd_<*>_<*> not found, computing it"
36.0,E24,"Partition rdd_<*>_<*> not found, computing it"
37.0,E24,"Partition rdd_<*>_<*> not found, computing it"
38.0,E24,"Partition rdd_<*>_<*> not found, computing it"
39.0,E25,Input split: hdfs://<*>:<*>/pjhe/logs/2kSOSP.log:<*>+<*>
40.0,E25,Input split: hdfs://<*>:<*>/pjhe/logs/2kSOSP.log:<*>+<*>
41.0,E25,Input split: hdfs://<*>:<*>/pjhe/logs/2kSOSP.log:<*>+<*>
42.0,E25,Input split: hdfs://<*>:<*>/pjhe/logs/2kSOSP.log:<*>+<*>
43.0,E25,Input split: hdfs://<*>:<*>/pjhe/logs/2kSOSP.log:<*>+<*>
44.0,E20,Started reading broadcast variable <*>
45.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
46.0,E22,Reading broadcast variable <*> took <*> ms
47.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
48.0,E26,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
49.0,E26,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
50.0,E26,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
51.0,E26,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
52.0,E26,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
53.0,E20,Started reading broadcast variable <*>
54.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
55.0,E22,Reading broadcast variable <*> took <*> ms
56.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
57.0,E20,Started reading broadcast variable <*>
58.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
59.0,E22,Reading broadcast variable <*> took <*> ms
60.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
61.0,E20,Started reading broadcast variable <*>
62.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
63.0,E22,Reading broadcast variable <*> took <*> ms
64.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
65.0,E20,Started reading broadcast variable <*>
66.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
67.0,E22,Reading broadcast variable <*> took <*> ms
68.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
69.0,E20,Started reading broadcast variable <*>
70.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
71.0,E22,Reading broadcast variable <*> took <*> ms
72.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
73.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
74.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
75.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
76.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
77.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
78.0,E28,"Block rdd_<*>_<*> stored as bytes in memory (estimated size <*>.0 B, free <*>.4 KB)"
79.0,E28,"Block rdd_<*>_<*> stored as bytes in memory (estimated size <*>.0 B, free <*>.4 KB)"
80.0,E28,"Block rdd_<*>_<*> stored as bytes in memory (estimated size <*>.0 B, free <*>.4 KB)"
81.0,E28,"Block rdd_<*>_<*> stored as bytes in memory (estimated size <*>.0 B, free <*>.4 KB)"
82.0,E28,"Block rdd_<*>_<*> stored as bytes in memory (estimated size <*>.0 B, free <*>.4 KB)"
83.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
84.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
85.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
86.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
87.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
88.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
89.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
90.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
91.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
92.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
93.0,E18,Got assigned task <*>
94.0,E19,Running task <*> in stage <*> (TID <*>)
95.0,E18,Got assigned task <*>
96.0,E19,Running task <*> in stage <*> (TID <*>)
97.0,E18,Got assigned task <*>
98.0,E20,Started reading broadcast variable <*>
99.0,E19,Running task <*> in stage <*> (TID <*>)
100.0,E18,Got assigned task <*>
101.0,E19,Running task <*> in stage <*> (TID <*>)
102.0,E18,Got assigned task <*>
103.0,E19,Running task <*> in stage <*> (TID <*>)
104.0,E21,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)"
105.0,E22,Reading broadcast variable <*> took <*> ms
106.0,E23,"Block broadcast_<*> stored as values in memory (estimated size <*> B, free <*> KB)"
107.0,E30,Found block rdd_<*>_<*> locally
108.0,E30,Found block rdd_<*>_<*> locally
109.0,E30,Found block rdd_<*>_<*> locally
110.0,E30,Found block rdd_<*>_<*> locally
111.0,E30,Found block rdd_<*>_<*> locally
112.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
113.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
114.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
115.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
116.0,E27,"Times: total = <*>, boot = <-*>, init = <**>, finish = <*>"
117.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
118.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
119.0,E29,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
