Unnamed: 0,EventId,template
0.0,E1,<*> closed for user <*>
1.0,E2,<*> opened for user <*> by (uid=*)
2.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
3.0,E1,<*> closed for user <*>
4.0,E2,<*> opened for user <*> by (uid=*)
5.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
6.0,E1,<*> closed for user <*>
7.0,E2,<*> opened for user <*> by (uid=*)
8.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
9.0,E1,<*> closed for user <*>
10.0,E2,<*> opened for user <*> by (uid=*)
11.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
12.0,E1,<*> closed for user <*>
13.0,E2,<*> opened for user <*> by (uid=*)
14.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
15.0,E1,<*> closed for user <*>
16.0,E2,<*> opened for user <*> by (uid=*)
17.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
18.0,E1,<*> closed for user <*>
19.0,E2,<*> opened for user <*> by (uid=*)
20.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
21.0,E1,<*> closed for user <*>
22.0,E2,<*> opened for user <*> by (uid=*)
23.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
24.0,E1,<*> closed for user <*>
25.0,E2,<*> opened for user <*> by (uid=*)
26.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
27.0,E1,<*> closed for user <*>
28.0,E2,<*> opened for user <*> by (uid=*)
29.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
30.0,E1,<*> closed for user <*>
31.0,E2,<*> opened for user <*> by (uid=*)
32.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
33.0,E1,<*> closed for user <*>
34.0,E2,<*> opened for user <*> by (uid=*)
35.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
36.0,E1,<*> closed for user <*>
37.0,E2,<*> opened for user <*> by (uid=*)
38.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
39.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
40.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
41.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
42.0,E1,<*> closed for user <*>
43.0,E2,<*> opened for user <*> by (uid=*)
44.0,E3,<*> (root) CMD (run-parts /etc/cron.hourly)
45.0,E5,"<*> to <*>.<*>, stratum <*>"
46.0,E5,"<*> to <*>.<*>, stratum <*>"
47.0,E5,"<*> to <*>.<*>, stratum <*>"
48.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
49.0,E5,"<*> to <*>.<*>, stratum <*>"
50.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
51.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
52.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
53.0,E5,"<*> to <*>.<*>, stratum <*>"
54.0,E5,"<*> to <*>.<*>, stratum <*>"
55.0,E6,[<*>:1831]: ********************** NEW SWEEP ********************
56.0,E5,"<*> to <*>.<*>, stratum <*>"
57.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
58.0,E5,"<*> to <*>.<*>, stratum <*>"
59.0,E5,"<*> to <*>.<*>, stratum <*>"
60.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
61.0,E5,"<*> to <*>.<*>, stratum <*>"
62.0,E7,[<*>]: No topology change
63.0,E8,[<*>]: No configuration change required
64.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
65.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
66.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
67.0,E5,"<*> to <*>.<*>, stratum <*>"
68.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
69.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
70.0,E5,"<*> to <*>.<*>, stratum <*>"
71.0,E5,"<*> to <*>.<*>, stratum <*>"
72.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
73.0,E9,Local disconnected: Connection <*>.
74.0,E10,c <*>: '<*> <*>.'
75.0,E5,"<*> to <*>.<*>, stratum <*>"
76.0,E5,"<*> to <*>.<*>, stratum <*>"
77.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
78.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
79.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
80.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
81.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
82.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
83.0,E5,"<*> to <*>.<*>, stratum <*>"
84.0,E6,[<*>:1831]: ********************** NEW SWEEP ********************
85.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
86.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
87.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
88.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
89.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
90.0,E5,"<*> to <*>.<*>, stratum <*>"
91.0,E5,"<*> to <*>.<*>, stratum <*>"
92.0,E4,d_thread() got not answer from any [Thunderbird_A*] datasource
93.0,E7,[<*>]: No topology change
94.0,E8,[<*>]: No configuration change required
95.0,E11,unable to qualify my own domain name (<*>) -- using short name
96.0,E1,<*> closed for user <*>
