Unnamed: 0,EventId,template
0.0,E1,Loaded Servicing Stack v<*> with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_<*>_none_<*>\cbscore.dll
1.0,E2,0: <*>@<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>.<*>.<*>.<*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*> @<*>)
2.0,E2,0: <*>@<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>.<*>.<*>.<*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*> @<*>)
3.0,E2,0: <*>@<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>.<*>.<*>.<*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*> @<*>)
4.0,E3,Ending <*> initialization.
5.0,E4,Starting the <*> main loop.
6.0,E5,<*> service starts successfully.
7.0,E6,SQM: Initializing online with Windows opt-in: <*>
8.0,E7,SQM: Cleaning up report files older than <*> days.
9.0,E8,SQM: Requesting upload of all unsent reports.
10.0,E9,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\<*>_std.sqm, flags: 0x<*> [HRESULT = 0x<*> - E_FAIL]"
11.0,E10,SQM: Failed to start standard sample upload. [HRESULT = 0x<*> - E_FAIL]
12.0,E11,"SQM: Queued <*> file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: <*>"
13.0,E12,0: SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL]
14.0,E13,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
15.0,E14,N<*>nStart: C<*>cking to ensure startup processing was n<*>t required.
16.0,E15,"dAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @<*>"
17.0,E16,"Creating NT transaction (seq <*>), objectname [6]""(null)"""
18.0,E17,"0000000e Created NT transaction (seq <*>) result 0x00000000, handle @0xb8"
19.0,E18,0000000f@<*>:20:40:54.786 CSI perf trace:
20.0,E19,"d: NonStart: Success, startup processing <*> required as expected."
21.0,E20,<*> processing thread terminated normally
22.0,E21,0000000a CSI Store <*> (0x000000000105d5b0) initialized
23.0,E22,Session: <*> initialized by client <*>.
24.0,E22,Session: <*> initialized by client <*>.
25.0,E23,d: Warning: Unrecognized packageExtended attribute.
26.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
27.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
28.0,E23,d: Warning: Unrecognized packageExtended attribute.
29.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
30.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
31.0,E23,d: Warning: Unrecognized packageExtended attribute.
32.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
33.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
34.0,E23,d: Warning: Unrecognized packageExtended attribute.
35.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
36.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
37.0,E23,d: Warning: Unrecognized packageExtended attribute.
38.0,E23,d: Warning: Unrecognized packageExtended attribute.
39.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
40.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
41.0,E23,d: Warning: Unrecognized packageExtended attribute.
42.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
43.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
44.0,E23,d: Warning: Unrecognized packageExtended attribute.
45.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
46.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
47.0,E23,d: Warning: Unrecognized packageExtended attribute.
48.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
49.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
50.0,E23,d: Warning: Unrecognized packageExtended attribute.
51.0,E23,d: Warning: Unrecognized packageExtended attribute.
52.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
53.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
54.0,E23,d: Warning: Unrecognized packageExtended attribute.
55.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
56.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
57.0,E23,d: Warning: Unrecognized packageExtended attribute.
58.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
59.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
60.0,E23,d: Warning: Unrecognized packageExtended attribute.
61.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
62.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
63.0,E23,d: Warning: Unrecognized packageExtended attribute.
64.0,E23,d: Warning: Unrecognized packageExtended attribute.
65.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
66.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
67.0,E23,d: Warning: Unrecognized packageExtended attribute.
68.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
69.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
70.0,E23,d: Warning: Unrecognized packageExtended attribute.
71.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
72.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
73.0,E23,d: Warning: Unrecognized packageExtended attribute.
74.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
75.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
76.0,E23,d: Warning: Unrecognized packageExtended attribute.
77.0,E23,d: Warning: Unrecognized packageExtended attribute.
78.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
79.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
80.0,E23,d: Warning: Unrecognized packageExtended attribute.
81.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
82.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
83.0,E23,d: Warning: Unrecognized packageExtended attribute.
84.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
85.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
86.0,E23,d: Warning: Unrecognized packageExtended attribute.
87.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
88.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
89.0,E23,d: Warning: Unrecognized packageExtended attribute.
90.0,E23,d: Warning: Unrecognized packageExtended attribute.
91.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
92.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
93.0,E23,d: Warning: Unrecognized packageExtended attribute.
94.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
95.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
96.0,E23,d: Warning: Unrecognized packageExtended attribute.
97.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
98.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
99.0,E23,d: Warning: Unrecognized packageExtended attribute.
100.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
101.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
102.0,E23,d: Warning: Unrecognized packageExtended attribute.
103.0,E23,d: Warning: Unrecognized packageExtended attribute.
104.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
105.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
106.0,E23,d: Warning: Unrecognized packageExtended attribute.
107.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
108.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
109.0,E23,d: Warning: Unrecognized packageExtended attribute.
110.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
111.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
112.0,E23,d: Warning: Unrecognized packageExtended attribute.
113.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
114.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
115.0,E23,d: Warning: Unrecognized packageExtended attribute.
116.0,E23,d: Warning: Unrecognized packageExtended attribute.
117.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
118.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
119.0,E23,d: Warning: Unrecognized packageExtended attribute.
120.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
121.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
122.0,E23,d: Warning: Unrecognized packageExtended attribute.
123.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
124.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
125.0,E23,d: Warning: Unrecognized packageExtended attribute.
126.0,E24,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
127.0,E25,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
128.0,E23,d: Warning: Unrecognized packageExtended attribute.
129.0,E22,Session: <*> initialized by client <*>.
130.0,E26,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE]
131.0,E22,Session: <*> initialized by client <*>.
