Unnamed: 0,EventId,template
0.0,E1,Notification time out: <*>
1.0,E2,Received connection request /<*>:<*>
2.0,E3,Send worker leaving thread
3.0,E4,Interrupted while waiting for message on queue
4.0,E3,Send worker leaving thread
5.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
6.0,E2,Received connection request /<*>:<*>
7.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
8.0,E4,Interrupted while waiting for message on queue
9.0,E3,Send worker leaving thread
10.0,E3,Send worker leaving thread
11.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
12.0,E2,Received connection request /<*>:<*>
13.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
14.0,E4,Interrupted while waiting for message on queue
15.0,E6,Interrupting <*>Worker
16.0,E3,Send worker leaving thread
17.0,E6,Interrupting <*>Worker
18.0,E4,Interrupted while waiting for message on queue
19.0,E2,Received connection request /<*>:<*>
20.0,E6,Interrupting <*>Worker
21.0,E3,Send worker leaving thread
22.0,E4,Interrupted while waiting for message on queue
23.0,E6,Interrupting <*>Worker
24.0,E3,Send worker leaving thread
25.0,E4,Interrupted while waiting for message on queue
26.0,E2,Received connection request /<*>:<*>
27.0,E4,Interrupted while waiting for message on queue
28.0,E4,Interrupted while waiting for message on queue
29.0,E6,Interrupting <*>Worker
30.0,E4,Interrupted while waiting for message on queue
31.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
32.0,E4,Interrupted while waiting for message on queue
33.0,E3,Send worker leaving thread
34.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
35.0,E2,Received connection request /<*>:<*>
36.0,E4,Interrupted while waiting for message on queue
37.0,E4,Interrupted while waiting for message on queue
38.0,E4,Interrupted while waiting for message on queue
39.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
40.0,E4,Interrupted while waiting for message on queue
41.0,E4,Interrupted while waiting for message on queue
42.0,E2,Received connection request /<*>:<*>
43.0,E6,Interrupting <*>Worker
44.0,E4,Interrupted while waiting for message on queue
45.0,E6,Interrupting <*>Worker
46.0,E6,Interrupting <*>Worker
47.0,E2,Received connection request /<*>:<*>
48.0,E4,Interrupted while waiting for message on queue
49.0,E4,Interrupted while waiting for message on queue
50.0,E3,Send worker leaving thread
51.0,E6,Interrupting <*>Worker
52.0,E6,Interrupting <*>Worker
53.0,E4,Interrupted while waiting for message on queue
54.0,E6,Interrupting <*>Worker
55.0,E2,Received connection request /<*>:<*>
56.0,E2,Received connection request /<*>:<*>
57.0,E4,Interrupted while waiting for message on queue
58.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
59.0,E6,Interrupting <*>Worker
60.0,E6,Interrupting <*>Worker
61.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
62.0,E3,Send worker leaving thread
63.0,E2,Received connection request /<*>:<*>
64.0,E2,Received connection request /<*>:<*>
65.0,E3,Send worker leaving thread
66.0,E6,Interrupting <*>Worker
67.0,E4,Interrupted while waiting for message on queue
68.0,E4,Interrupted while waiting for message on queue
69.0,E6,Interrupting <*>Worker
70.0,E3,Send worker leaving thread
71.0,E6,Interrupting <*>Worker
72.0,E3,Send worker leaving thread
73.0,E2,Received connection request /<*>:<*>
74.0,E6,Interrupting <*>Worker
75.0,E3,Send worker leaving thread
76.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
77.0,E4,Interrupted while waiting for message on queue
78.0,E4,Interrupted while waiting for message on queue
79.0,E6,Interrupting <*>Worker
80.0,E2,Received connection request /<*>:<*>
81.0,E3,Send worker leaving thread
82.0,E4,Interrupted while waiting for message on queue
83.0,E3,Send worker leaving thread
84.0,E2,Received connection request /<*>:<*>
85.0,E4,Interrupted while waiting for message on queue
86.0,E4,Interrupted while waiting for message on queue
87.0,E6,Interrupting <*>Worker
88.0,E6,Interrupting <*>Worker
89.0,E2,Received connection request /<*>:<*>
90.0,E6,Interrupting <*>Worker
91.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
92.0,E4,Interrupted while waiting for message on queue
93.0,E3,Send worker leaving thread
94.0,E2,Received connection request /<*>:<*>
95.0,E4,Interrupted while waiting for message on queue
96.0,E2,Received connection request /<*>:<*>
97.0,E3,Send worker leaving thread
98.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
99.0,E4,Interrupted while waiting for message on queue
100.0,E4,Interrupted while waiting for message on queue
101.0,E4,Interrupted while waiting for message on queue
102.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
103.0,E6,Interrupting <*>Worker
104.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
105.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
106.0,E6,Interrupting <*>Worker
107.0,E2,Received connection request /<*>:<*>
108.0,E6,Interrupting <*>Worker
109.0,E6,Interrupting <*>Worker
110.0,E3,Send worker leaving thread
111.0,E6,Interrupting <*>Worker
112.0,E6,Interrupting <*>Worker
113.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
114.0,E3,Send worker leaving thread
115.0,E2,Received connection request /<*>:<*>
116.0,E6,Interrupting <*>Worker
117.0,E2,Received connection request /<*>:<*>
118.0,E4,Interrupted while waiting for message on queue
119.0,E3,Send worker leaving thread
120.0,E6,Interrupting <*>Worker
121.0,E4,Interrupted while waiting for message on queue
122.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
123.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
124.0,E2,Received connection request /<*>:<*>
125.0,E4,Interrupted while waiting for message on queue
126.0,E6,Interrupting <*>Worker
127.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
128.0,E6,Interrupting <*>Worker
129.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
130.0,E4,Interrupted while waiting for message on queue
131.0,E2,Received connection request /<*>:<*>
132.0,E6,Interrupting <*>Worker
133.0,E3,Send worker leaving thread
134.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
135.0,E2,Received connection request /<*>:<*>
136.0,E6,Interrupting <*>Worker
137.0,E4,Interrupted while waiting for message on queue
138.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
139.0,E4,Interrupted while waiting for message on queue
140.0,E6,Interrupting <*>Worker
141.0,E3,Send worker leaving thread
142.0,E4,Interrupted while waiting for message on queue
143.0,E2,Received connection request /<*>:<*>
144.0,E6,Interrupting <*>Worker
145.0,E2,Received connection request /<*>:<*>
146.0,E3,Send worker leaving thread
147.0,E3,Send worker leaving thread
148.0,E6,Interrupting <*>Worker
149.0,E3,Send worker leaving thread
150.0,E3,Send worker leaving thread
151.0,E2,Received connection request /<*>:<*>
152.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
153.0,E4,Interrupted while waiting for message on queue
154.0,E4,Interrupted while waiting for message on queue
155.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
156.0,E6,Interrupting <*>Worker
157.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
158.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
159.0,E4,Interrupted while waiting for message on queue
160.0,E3,Send worker leaving thread
161.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
162.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
163.0,E3,Send worker leaving thread
164.0,E3,Send worker leaving thread
165.0,E2,Received connection request /<*>:<*>
166.0,E6,Interrupting <*>Worker
167.0,E3,Send worker leaving thread
168.0,E6,Interrupting <*>Worker
169.0,E2,Received connection request /<*>:<*>
170.0,E2,Received connection request /<*>:<*>
171.0,E3,Send worker leaving thread
172.0,E6,Interrupting <*>Worker
173.0,E3,Send worker leaving thread
174.0,E3,Send worker leaving thread
175.0,E4,Interrupted while waiting for message on queue
176.0,E4,Interrupted while waiting for message on queue
177.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
178.0,E2,Received connection request /<*>:<*>
179.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
180.0,E6,Interrupting <*>Worker
181.0,E2,Received connection request /<*>:<*>
182.0,E6,Interrupting <*>Worker
183.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
184.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
185.0,E2,Received connection request /<*>:<*>
186.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
187.0,E2,Received connection request /<*>:<*>
188.0,E6,Interrupting <*>Worker
189.0,E2,Received connection request /<*>:<*>
190.0,E3,Send worker leaving thread
191.0,E4,Interrupted while waiting for message on queue
192.0,E6,Interrupting <*>Worker
193.0,E4,Interrupted while waiting for message on queue
194.0,E4,Interrupted while waiting for message on queue
195.0,E3,Send worker leaving thread
196.0,E4,Interrupted while waiting for message on queue
197.0,E2,Received connection request /<*>:<*>
198.0,E4,Interrupted while waiting for message on queue
199.0,E2,Received connection request /<*>:<*>
200.0,E2,Received connection request /<*>:<*>
201.0,E5,"Connection broken for id <*>, my id = <*>, error = <*>"
202.0,E2,Received connection request /<*>:<*>
203.0,E2,Received connection request /<*>:<*>
