Dataset,Parsing Accuracy,Precision Template Accuracy,Recall Template Accuracy,Grouping Accuracy
HDFS,1.000000,1.000000,1.000000,1.000000
Spark,0.999500,0.972222,0.972222,1.000000
BGL,0.987000,0.917355,0.925000,0.972000
Windows,0.998000,0.918367,0.900000,0.998000
Linux,0.997000,0.957627,0.957627,0.994000
Android,0.942500,0.830409,0.855422,0.930000
Mac,0.862500,0.675595,0.665689,0.845500
Hadoop,0.996000,0.982609,0.991228,0.994000
HealthApp,0.994500,0.947368,0.960000,0.870000
OpenSSH,0.945000,0.961538,0.925926,0.753000
Thunderbird,0.985000,0.934211,0.953020,0.963000
Proxifier,1.000000,1.000000,1.000000,1.000000
Apache,1.000000,1.000000,1.000000,1.000000
HPC,0.997000,0.914894,0.934783,0.927000
Zookeeper,0.997500,0.886792,0.940000,0.736000
OpenStack,0.999500,0.953488,0.953488,0.978500
